match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick
53676,119567,DFM,5,ZETA,13,opponent win,Haven,team pick
53677,119569,TLN,6,GE,13,opponent win,Split,opponent pick
53677,119569,GE,13,TLN,6,team win,Split,team pick
53677,119570,TLN,11,GE,13,opponent win,Icebox,team pick
53677,119570,GE,13,TLN,11,team win,Icebox,opponent pick
53678,119572,PRX,7,GE,13,opponent win,Icebox,team pick
53678,119572,GE,13,PRX,7,team win,Icebox,opponent pick
53678,119573,PRX,13,GE,6,team win,Split,opponent pick
53678,119573,GE,6,PRX,13,opponent win,Split,team pick
53678,119574,PRX,13,GE,7,team win,Pearl,opponent pick
53678,119574,GE,7,PRX,13,opponent win,Pearl,opponent pick
53679,119575,GEN,7,DRX,13,opponent win,Haven,team pick
53679,119575,DRX,13,GEN,7,team win,Haven,opponent pick
53679,119576,GEN,13,DRX,10,team win,Fracture,opponent pick
53679,119576,DRX,10,GEN,13,opponent win,Fracture,team pick
53679,119577,GEN,4,DRX,13,opponent win,Pearl,opponent pick
53679,119577,DRX,13,GEN,4,team win,Pearl,opponent pick
53680,119578,T1,13,RRQ,9,team win,Haven,opponent pick
53680,119578,RRQ,9,T1,13,opponent win,Haven,team pick
53680,119579,T1,13,RRQ,4,team win,Fracture,team pick
53680,119579,RRQ,4,T1,13,opponent win,Fracture,opponent pick
53681,119581,TS,13,DFM,11,team win,Ascent,opponent pick
53681,119581,DFM,11,TS,13,opponent win,Ascent,team pick
53681,119582,TS,13,DFM,8,team win,Haven,team pick
53681,119582,DFM,8,TS,13,opponent win,Haven,opponent pick
53682,119584,ZETA,8,TLN,13,opponent win,Haven,opponent pick
53682,119584,TLN,13,ZETA,8,team win,Haven,team pick
53682,119585,ZETA,14,TLN,16,opponent win,Ascent,team pick
53682,119585,TLN,16,ZETA,14,team win,Ascent,opponent pick
53683,119587,T1,13,DFM,9,team win,Lotus,team pick
53683,119587,DFM,9,T1,13,opponent win,Lotus,opponent pick
53683,119588,T1,9,DFM,13,opponent win,Split,opponent pick
53683,119588,DFM,13,T1,9,team win,Split,team pick
53683,119589,T1,13,DFM,10,team win,Fracture,opponent pick
53683,119589,DFM,10,T1,13,opponent win,Fracture,opponent pick
53684,119590,ZETA,13,TS,9,team win,Split,team pick
53684,119590,TS,9,ZETA,13,opponent win,Split,opponent pick
53684,119591,ZETA,10,TS,13,opponent win,Lotus,opponent pick
53684,119591,TS,13,ZETA,10,team win,Lotus,team pick
53684,119592,ZETA,13,TS,9,team win,Fracture,opponent pick
53684,119592,TS,9,ZETA,13,opponent win,Fracture,opponent pick
53685,119593,GE,13,GEN,8,team win,Pearl,team pick
53685,119593,GEN,8,GE,13,opponent win,Pearl,opponent pick
53685,119594,GE,13,GEN,8,team win,Lotus,opponent pick
53685,119594,GEN,8,GE,13,opponent win,Lotus,team pick
53686,119596,RRQ,13,DRX,8,team win,Haven,opponent pick
53686,119596,DRX,8,RRQ,13,opponent win,Haven,team pick
53686,119597,RRQ,10,DRX,13,opponent win,Split,team pick
53686,119597,DRX,13,RRQ,10,team win,Split,opponent pick
53686,119598,RRQ,2,DRX,13,opponent win,Pearl,opponent pick
53686,119598,DRX,13,RRQ,2,team win,Pearl,opponent pick
53687,119599,TLN,13,PRX,11,team win,Pearl,team pick
53687,119599,PRX,11,TLN,13,opponent win,Pearl,opponent pick
53687,119600,TLN,4,PRX,13,opponent win,Split,opponent pick
53687,119600,PRX,13,TLN,4,team win,Split,team pick
53687,119601,TLN,10,PRX,13,opponent win,Fracture,opponent pick
53687,119601,PRX,13,TLN,10,team win,Fracture,opponent pick
53688,119602,TLN,13,GEN,8,team win,Fracture,opponent pick
53688,119602,GEN,8,TLN,13,opponent win,Fracture,team pick
53688,119603,TLN,13,GEN,7,team win,Lotus,team pick
53688,119603,GEN,7,TLN,13,opponent win,Lotus,opponent pick
53689,119605,ZETA,6,PRX,13,opponent win,Split,opponent pick
53689,119605,PRX,13,ZETA,6,team win,Split,team pick
53689,119606,ZETA,10,PRX,13,opponent win,Ascent,team pick
53689,119606,PRX,13,ZETA,10,team win,Ascent,opponent pick
53690,119608,RRQ,13,GE,10,team win,Fracture,team pick
53690,119608,GE,10,RRQ,13,opponent win,Fracture,opponent pick
53690,119609,RRQ,13,GE,11,team win,Pearl,opponent pick
53690,119609,GE,11,RRQ,13,opponent win,Pearl,team pick
53691,119611,TS,4,T1,13,opponent win,Lotus,team pick
53691,119611,T1,13,TS,4,team win,Lotus,opponent pick
53691,119612,TS,8,T1,13,opponent win,Bind,opponent pick
53691,119612,T1,13,TS,8,team win,Bind,team pick
53692,119614,DRX,13,DFM,8,team win,Fracture,opponent pick
53692,119614,DFM,8,DRX,13,opponent win,Fracture,team pick
53692,119615,DRX,13,DFM,4,team win,Ascent,team pick
53692,119615,DFM,4,DRX,13,opponent win,Ascent,opponent pick
53693,119617,PRX,13,GEN,7,team win,Split,team pick
53693,119617,GEN,7,PRX,13,opponent win,Split,opponent pick
53693,119618,PRX,13,GEN,2,team win,Ascent,opponent pick
53693,119618,GEN,2,PRX,13,opponent win,Ascent,team pick
53694,119620,ZETA,11,T1,13,opponent win,Fracture,team pick
53694,119620,T1,13,ZETA,11,team win,Fracture,opponent pick
53694,119621,ZETA,13,T1,10,team win,Lotus,opponent pick
53694,119621,T1,10,ZETA,13,opponent win,Lotus,team pick
53694,119622,ZETA,3,T1,13,opponent win,Bind,opponent pick
53694,119622,T1,13,ZETA,3,team win,Bind,opponent pick
53695,119623,TS,13,DRX,8,team win,Haven,team pick
53695,119623,DRX,8,TS,13,opponent win,Haven,opponent pick
53695,119624,TS,13,DRX,11,team win,Ascent,opponent pick
53695,119624,DRX,11,TS,13,opponent win,Ascent,team pick
53696,119626,GE,13,DFM,7,team win,Lotus,opponent pick
53696,119626,DFM,7,GE,13,opponent win,Lotus,team pick
53696,119627,GE,13,DFM,6,team win,Pearl,team pick
53696,119627,DFM,6,GE,13,opponent win,Pearl,opponent pick
53697,119629,TLN,13,RRQ,3,team win,Split,opponent pick
53697,119629,RRQ,3,TLN,13,opponent win,Split,team pick
53697,119630,TLN,4,RRQ,13,opponent win,Ascent,team pick
53697,119630,RRQ,13,TLN,4,team win,Ascent,opponent pick
53697,119631,TLN,7,RRQ,13,opponent win,Haven,opponent pick
53697,119631,RRQ,13,TLN,7,team win,Haven,opponent pick
53698,119632,ZETA,13,GEN,8,team win,Haven,opponent pick
53698,119632,GEN,8,ZETA,13,opponent win,Haven,team pick
53698,119633,ZETA,4,GEN,13,opponent win,Ascent,team pick
53698,119633,GEN,13,ZETA,4,team win,Ascent,opponent pick
53698,119634,ZETA,13,GEN,4,team win,Fracture,opponent pick
53698,119634,GEN,4,ZETA,13,opponent win,Fracture,opponent pick
53699,119635,T1,10,DRX,13,opponent win,Bind,team pick
53699,119635,DRX,13,T1,10,team win,Bind,opponent pick
53699,119636,T1,9,DRX,13,opponent win,Pearl,opponent pick
53699,119636,DRX,13,T1,9,team win,Pearl,team pick
53700,119638,TS,13,GE,9,team win,Haven,team pick
53700,119638,GE,9,TS,13,opponent win,Haven,opponent pick
53700,119639,TS,13,GE,10,team win,Lotus,opponent pick
53700,119639,GE,10,TS,13,opponent win,Lotus,team pick
53701,119641,TLN,13,DFM,11,team win,Lotus,team pick
53701,119641,DFM,11,TLN,13,opponent win,Lotus,opponent pick
53701,119642,TLN,13,DFM,4,team win,Bind,opponent pick
53701,119642,DFM,4,TLN,13,opponent win,Bind,team pick
53702,119644,RRQ,9,PRX,13,opponent win,Bind,team pick
53702,119644,PRX,13,RRQ,9,team win,Bind,opponent pick
53702,119645,RRQ,11,PRX,13,opponent win,Pearl,opponent pick
53702,119645,PRX,13,RRQ,11,team win,Pearl,team pick
53713,119677,ZETA,13,TS,15,opponent win,Haven,opponent pick
53713,119677,TS,15,ZETA,13,team win,Haven,team pick
