game_id,player_id,player,agent,acs,kill,death,assist
119600,7378,Jinggg,raze,241,13,12,5
119601,18035,garnetS,raze,181,12,18,6
119601,9800,mindfreak,brimstone,173,15,16,16
119602,6723,foxz,skye,174,12,14,12
119602,1960,eKo,breach,143,11,18,8
119603,2452,Patiphan,breach,168,11,14,11
119603,4827,GodDead,kayo,129,5,17,17
119605,1000,crow,kayo,90,5,14,8
119605,9803,d4v41,viper,143,11,11,6
119606,1395,TENNN,killjoy,121,9,18,4
119606,7378,Jinggg,sage,148,10,14,12
119608,9747,Emman,skye,211,18,18,11
119608,4095,SkRossi,jett,137,10,20,5
119609,4871,xffero,astra,187,18,17,7
119609,805,Bazzi,fade,163,11,21,8
119611,2679,DubsteP,jett,109,5,16,1
119611,474,xeta,harbor,169,9,10,7
119612,8504,invy,skye,122,9,20,7
119612,31207,Carpe,gekko,148,11,13,4
119614,488,Rb,fade,121,9,14,5
119614,7718,xnfri,skye,117,8,17,6
119615,11600,Foxy9,jett,206,13,13,6
119615,1003,Reita,sova,119,7,16,2
119617,9800,mindfreak,astra,177,12,13,4
119617,771,k1Ng,viper,95,4,14,5
119618,9800,mindfreak,omen,171,9,7,5
119618,4827,GodDead,kayo,148,6,14,5
119620,1000,crow,breach,126,8,17,10
119620,31207,Carpe,brimstone,98,6,15,14
119621,999,Laz,skye,135,10,19,9
119621,474,xeta,harbor,94,8,18,5
119622,999,Laz,skye,96,5,14,2
119622,31207,Carpe,gekko,132,9,8,2
119623,7405,Jremy,raze,254,16,16,9
119623,488,Rb,killjoy,144,10,17,2
119624,2333,BORKUM,omen,159,14,17,12
119624,804,BuZz,jett,110,9,20,1
119626,805,Bazzi,skye,131,7,11,11
119626,7718,xnfri,omen,138,10,15,5
119627,4095,SkRossi,jett,185,13,17,2
119627,1002,takej,viper,135,9,16,7
119629,3977,Crws,viper,164,10,8,5
119629,7045,fl1pzjder,viper,137,6,14,4
119630,13788,JitBoyS,killjoy,137,7,15,3
119630,7403,EJAY,jett,201,13,13,4
119631,3342,Sushiboys,killjoy,149,9,17,4
119631,4871,xffero,sova,134,9,13,4
119632,424,Dep,jett,212,17,16,1
119632,13039,Meteor,jett,145,9,17,5
119633,1000,crow,kayo,117,5,15,7
119633,1960,eKo,sova,145,10,11,6
119634,1395,TENNN,killjoy,201,12,10,5
119634,13039,Meteor,raze,155,8,15,3
119635,5129,ban,harbor,176,16,18,2
119635,11600,Foxy9,jett,126,11,18,0
119636,5129,ban,viper,133,10,14,6
119636,804,BuZz,killjoy,141,8,15,5
119638,2334,JessieVash,sova,162,13,14,6
119638,824,AYRIN,harbor,116,8,19,8
119639,7405,Jremy,killjoy,164,12,18,8
119639,824,AYRIN,kayo,116,7,18,9
119641,18035,garnetS,raze,179,15,19,4
119641,1003,Reita,skye,158,14,18,12
119642,13788,JitBoyS,cypher,98,5,10,8
119642,1002,takej,harbor,114,5,15,4
119644,7403,EJAY,raze,171,12,18,5
119644,7378,Jinggg,raze,177,13,16,5
119645,7764,Lmemore,killjoy,194,15,20,2
119645,17086,something,jett,199,20,17,2
119677,1395,TENNN,killjoy,123,20,22,2
119677,8504,invy,breach,134,26,21,8
119678,1395,TENNN,killjoy,135,18,20,5
119678,8504,invy,kayo,200,21,18,17
119680,5129,ban,jett,263,18,16,4
119680,13039,Meteor,raze,195,14,17,3
119681,31207,Carpe,kayo,132,9,17,12
119681,771,k1Ng,killjoy,154,12,16,3
119682,4545,Sayaplayer,jett,210,16,13,1
119682,771,k1Ng,killjoy,160,10,16,6
119683,488,Rb,harbor,129,8,18,19
119683,7405,Jremy,raze,202,13,19,6
119684,485,stax,skye,151,9,14,14
119684,2334,JessieVash,skye,92,6,13,2
119685,488,Rb,harbor,132,8,8,11
119685,7405,Jremy,raze,109,5,15,3
119686,9800,mindfreak,omen,186,14,15,10
119686,5129,ban,viper,147,11,19,4
119687,9800,mindfreak,brimstone,137,12,13,7
119687,474,xeta,breach,135,11,17,7
119692,2334,JessieVash,sova,146,9,15,10
119692,771,k1Ng,killjoy,170,12,18,3
119693,2333,BORKUM,omen,125,9,16,6
119693,983,TS,omen,223,16,16,13
119694,2334,JessieVash,skye,121,12,19,10
119694,983,TS,astra,110,9,15,9
119689,2489,Munchkin,killjoy,153,14,15,1
119689,1000,crow,breach,106,8,15,10
119690,31207,Carpe,gekko,117,11,18,3
119690,999,Laz,skye,158,15,17,7
119691,5129,ban,jett,134,12,16,1
119691,999,Laz,fade,160,13,17,7
119695,11600,Foxy9,jett,171,11,18,0
119695,9801,f0rsakeN,neon,148,10,17,3
119696,4462,MaKo,viper,139,8,15,5
119696,9800,mindfreak,brimstone,142,9,12,4
119698,31207,Carpe,brimstone,141,11,17,7
119698,4827,GodDead,raze,150,9,20,9
119699,4545,Sayaplayer,jett,210,17,17,6
119699,1960,eKo,sova,130,9,20,7
131114,689,Clutch_Fi,omen,95,9,12,5
131114,29289,YuRiHaNa,skye,97,7,17,4
119701,485,stax,kayo,129,10,21,14
119701,5129,ban,omen,128,10,16,12
119702,488,Rb,neon,197,16,17,4
119702,31207,Carpe,brimstone,137,12,18,11
119703,485,stax,breach,137,9,17,22
119703,5129,ban,omen,134,10,18,7
119704,488,Rb,kayo,112,8,16,4
119704,2489,Munchkin,skye,129,8,14,9
119705,485,stax,skye,205,16,16,8
119705,4545,Sayaplayer,jett,161,14,18,2
119706,9801,f0rsakeN,neon,167,11,16,4
119706,485,stax,breach,103,8,13,6
119708,9803,d4v41,skye,126,12,22,12
119708,485,stax,kayo,185,17,27,22
119712,9801,f0rsakeN,killjoy,234,16,15,8
119712,488,Rb,killjoy,182,12,15,2
119714,9800,mindfreak,brimstone,127,7,11,15
119714,488,Rb,raze,101,5,17,6
131784,9801,f0rsakeN,cypher,154,9,9,7
131784,485,stax,omen,82,4,14,6
117164,9558,Wolfen,jett,185,12,16,3
117164,2858,SUYGETSU,viper,88,5,15,7
117165,339,koldamenta,sova,100,12,26,10
117165,11,Zyppan,skye,136,18,26,18
117161,5022,Derke,jett,255,13,15,7
117161,10,rhyme,killjoy,69,4,15,1
117162,1380,Leo,skye,154,13,13,8
117162,10,rhyme,astra,100,9,15,6
117167,562,zeek,harbor,159,9,14,2
117167,3604,MOJJ,cypher,114,6,7,6
117168,93,Mixwell,skye,135,10,17,5
117168,10125,qw1,neon,204,15,16,4
117170,1427,Redgar,omen,146,9,14,7
117170,4321,ceNder,killjoy,150,8,13,6
117171,9780,Jamppi,skye,181,11,8,9
117171,3672,BONECOLD,brimstone,112,5,14,3
117172,1427,Redgar,omen,128,10,17,11
117172,1615,Destrian,harbor,111,8,17,9
117173,109,ANGE1,cypher,130,13,27,10
